iter	Passed	Remaining
413	3732	5283
414	3738	5270
415	3749	5263
416	3756	5252
417	3764	5241
418	3771	5229
419	3781	5221
420	3795	5219
421	3803	5209
422	3812	5200
423	3819	5188
424	3828	5180
425	3837	5170
426	3846	5161
427	3854	5150
428	3861	5140
429	3868	5128
430	3876	5117
431	3883	5106
432	3891	5096
433	3898	5084
434	3905	5072
435	3912	5061
436	3920	5051
437	3928	5041
438	3937	5032
439	3944	5020
440	3951	5008
441	3961	5001
442	3969	4991
443	3976	4979
444	3982	4967
445	3989	4955
446	3995	4943
447	4001	4930
448	4008	4919
449	4014	4906
450	4020	4894
451	4028	4884
452	4037	4875
453	4043	4863
454	4050	4851
455	4057	4840
456	4064	4829
457	4076	4824
458	4084	4814
459	4090	4802
460	4099	4792
461	4107	4783
462	4114	4772
463	4120	4760
464	4128	4750
465	4135	4738
466	4143	4729
467	4152	4719
468	4158	4708
469	4164	4696
470	4172	4685
471	4177	4673
472	4184	4662
473	4192	4652
474	4199	4641
475	4205	4629
476	4211	4617
477	4219	4608
478	4225	4596
479	4232	4584
480	4239	4574
481	4246	4563
482	4253	4552
483	4259	4541
484	4267	4531
485	4274	4520
486	4281	4510
487	4289	4500
488	4297	4490
489	4304	4479
490	4311	4469
491	4318	4458
492	4325	4448
493	4333	4438
494	4340	4427
495	4347	4417
496	4354	4406
497	4361	4396
498	4369	4386
499	4375	4375
500	4383	4366
501	4391	4356
502	4400	4348
503	4407	4337
504	4416	4328
505	4422	4317
506	4432	4309
507	4438	4298
508	4446	4289
509	4453	4278
510	4461	4269
511	4468	4259
512	4477	4250
513	4486	4242
514	4495	4233
515	4504	4225
516	4513	4216
517	4521	4207
518	4532	4200
519	4540	4191
520	4548	4182
521	4555	4171
522	4564	4162
523	4573	4154
524	4583	4147
525	4591	4137
526	4599	4128
527	4606	4118
528	4613	4107
529	4620	4097
530	4627	4087
531	4634	4077
532	4642	4067
533	4648	4056
534	4656	4046
535	4664	4037
536	4672	4028
537	4683	4021
538	4694	4015
539	4702	4005
540	4711	3997
541	4718	3987
542	4727	3978
543	4739	3972
544	4746	3962
545	4754	3953
546	4760	3942
547	4767	3931
548	4774	3922
549	4783	3913
550	4794	3906
551	4800	3896
552	4808	3886
553	4814	3876
554	4822	3866
555	4828	3855
556	4834	3845
557	4841	3835
558	4849	3825
559	4857	3816
560	4864	3806
561	4873	3797
562	4880	3788
563	4889	3780
564	4898	3771
565	4908	3763
566	4916	3754
567	4924	3745
568	4933	3736
569	4940	3727
570	4949	3718
571	4958	3710
572	4967	3701
573	4974	3691
574	4982	3682
575	4991	3674
576	4999	3665
577	5013	3660
578	5021	3651
579	5029	3641
580	5039	3633
581	5045	3623
582	5053	3614
583	5060	3604
584	5068	3595
585	5074	3585
586	5082	3575
587	5089	3566
588	5095	3555
589	5104	3547
590	5111	3537
591	5122	3530
592	5131	3522
593	5138	3512
594	5146	3503
595	5155	3494
596	5163	3485
597	5170	3475
598	5180	3467
599	5189	3459
600	5201	3453
601	5208	3443
602	5216	3434
603	5222	3424
604	5229	3414
605	5237	3405
606	5247	3397
607	5259	3390
608	5267	3381
609	5274	3372
610	5281	3362
611	5288	3353
612	5299	3345
613	5305	3335
614	5312	3325
615	5320	3316
616	5331	3309
617	5338	3299
618	5344	3289
619	5352	3280
620	5360	3271
621	5367	3261
622	5374	3252
623	5382	3243
624	5392	3235
625	5401	3227
626	5408	3217
627	5416	3208
628	5423	3198
629	5430	3189
630	5440	3181
631	5448	3172
632	5457	3163
633	5463	3154
634	5472	3145
635	5481	3136
636	5497	3132
637	5505	3124
638	5515	3116
639	5525	3108
640	5533	3099
641	5542	3090
642	5549	3080
643	5556	3071
644	5563	3062
645	5573	3054
646	5581	3045
647	5591	3037
648	5598	3027
649	5605	3018
650	5611	3008
651	5620	2999
652	5628	2991
653	5637	2982
654	5644	2973
655	5652	2964
656	5662	2956
657	5673	2948
658	5680	2939
659	5690	2931
660	5697	2921
661	5707	2913
662	5714	2904
663	5724	2896
664	5731	2887
665	5743	2880
666	5752	2871
667	5763	2864
668	5771	2855
669	5778	2846
670	5787	2837
671	5795	2828
672	5805	2820
673	5813	2811
674	5824	2804
675	5830	2794
676	5841	2786
677	5847	2777
678	5856	2768
679	5864	2759
680	5874	2751
681	5882	2743
682	5891	2734
683	5899	2725
684	5909	2717
685	5919	2709
686	5928	2700
687	5937	2692
688	5945	2683
689	5952	2674
690	5959	2665
691	5967	2656
692	5975	2647
693	5988	2640
694	5995	2631
695	6005	2623
696	6012	2613
697	6022	2605
698	6029	2596
699	6039	2588
700	6049	2580
701	6058	2571
702	6071	2565
703	6080	2556
704	6088	2547
705	6100	2540
706	6108	2531
707	6116	2522
708	6124	2513
709	6134	2505
710	6142	2496
711	6150	2487
712	6159	2479
713	6166	2470
714	6174	2461
715	6183	2452
716	6190	2443
717	6198	2434
718	6206	2425
719	6214	2416
720	6224	2408
721	6232	2399
722	6238	2390
723	6245	2380
724	6251	2371
725	6258	2361
726	6264	2352
727	6273	2343
728	6283	2335
729	6290	2326
730	6297	2317
731	6304	2308
732	6313	2299
733	6319	2290
734	6326	2280
735	6332	2271
736	6338	2262
737	6346	2252
738	6354	2244
739	6363	2235
740	6370	2226
741	6377	2217
742	6387	2209
743	6394	2200
744	6401	2191
745	6410	2182
746	6419	2174
747	6431	2166
748	6442	2158
749	6456	2152
750	6465	2143
751	6482	2137
752	6492	2129
753	6499	2120
754	6508	2112
755	6516	2103
756	6525	2094
757	6532	2085
758	6541	2076
759	6548	2067
760	6557	2059
761	6565	2050
762	6575	2042
763	6584	2033
764	6594	2025
765	6605	2017
766	6614	2009
767	6625	2001
768	6637	1993
769	6646	1985
770	6656	1977
771	6669	1969
772	6684	1963
773	6696	1955
774	6706	1947
775	6722	1940
776	6734	1932
777	6744	1924
778	6754	1916
779	6763	1907
780	6773	1899
781	6788	1892
782	6812	1887
783	6822	1879
784	6834	1871
785	6843	1863
786	6854	1855
787	6864	1846
788	6875	1838
789	6884	1829
790	6891	1820
791	6901	1812
792	6909	1803
793	6918	1794
794	6924	1785
795	6934	1777
796	6941	1767
797	6950	1759
798	6958	1750
799	6969	1742
800	6976	1733
801	6985	1724
802	6993	1715
803	7002	1706
804	7010	1698
805	7018	1689
806	7025	1680
807	7034	1671
808	7042	1662
809	7050	1653
810	7057	1644
811	7066	1636
812	7073	1627
813	7082	1618
814	7089	1609
815	7098	1600
816	7105	1591
817	7113	1582
818	7120	1573
819	7128	1564
820	7136	1555
821	7145	1547
822	7151	1537
823	7158	1528
824	7165	1520
825	7172	1510
826	7180	1502
827	7188	1493
828	7197	1484
829	7204	1475
830	7214	1467
831	7222	1458
832	7230	1449
833	7238	1440
834	7246	1431
835	7252	1422
836	7262	1414
837	7269	1405
838	7278	1396
839	7286	1387
840	7294	1379
841	7301	1370
842	7310	1361
843	7316	1352
844	7325	1343
845	7331	1334
846	7339	1325
847	7346	1316
848	7354	1308
849	7362	1299
850	7370	1290
851	7378	1281
852	7386	1272
853	7394	1264
854	7401	1255
855	7409	1246
856	7417	1237
857	7425	1228
858	7434	1220
859	7443	1211
860	7451	1202
861	7459	1194
862	7470	1185
863	7477	1177
864	7488	1168
865	7494	1159
866	7504	1151
867	7511	1142
868	7522	1134
869	7533	1125
870	7545	1117
871	7557	1109
872	7567	1100
873	7577	1092
874	7590	1084
875	7605	1076
876	7615	1068
877	7628	1059
878	7639	1051
879	7647	1042
880	7662	1034
881	7674	1026
882	7684	1018
883	7694	1009
884	7705	1001
885	7717	992
886	7730	984
887	7739	976
888	7747	967
889	7756	958
890	7767	950
891	7776	941
892	7788	933
893	7798	924
894	7807	915
895	7818	907
896	7833	899
897	7843	890
898	7855	882
899	7867	874
900	7877	865
901	7889	857
902	7900	848
903	7908	839
904	7917	831
905	7926	822
906	7935	813
907	7944	804
908	7952	796
909	7962	787
910	7971	778
911	7984	770
912	7994	761
913	8001	752
914	8010	744
915	8018	735
916	8025	726
917	8032	717
918	8039	708
919	8049	699
920	8056	691
921	8065	682
922	8073	673
923	8083	664
924	8091	656
925	8099	647
926	8108	638
927	8116	629
928	8127	621
929	8136	612
930	8147	603
931	8154	594
932	8163	586
933	8169	577
934	8178	568
935	8185	559
936	8196	551
937	8207	542
938	8216	533
939	8228	525
940	8238	516
941	8247	507
942	8256	499
943	8263	490
944	8271	481
945	8279	472
946	8287	463
947	8295	455
948	8304	446
949	8313	437
950	8322	428
951	8330	420
952	8337	411
953	8346	402
954	8354	393
955	8362	384
956	8371	376
957	8378	367
958	8385	358
959	8392	349
960	8399	340
961	8407	332
962	8413	323
963	8422	314
964	8429	305
965	8438	297
966	8447	288
967	8457	279
968	8463	270
969	8473	262
970	8484	253
971	8494	244
972	8504	235
973	8511	227
974	8521	218
975	8529	209
976	8538	201
977	8546	192
978	8555	183
979	8565	174
980	8575	166
981	8589	157
982	8608	148
983	8622	140
984	8633	131
985	8640	122
986	8648	113
987	8656	105
988	8667	96
989	8678	87
990	8699	79
991	8708	70
992	8719	61
993	8727	52
994	8738	43
995	8753	35
996	8768	26
997	8783	17
998	8797	8
999	8812	0
