iter	Logloss
0	0.6918126591
1	0.6906224803
2	0.689516319
3	0.6883560914
4	0.6873183402
5	0.6862199292
6	0.6852077732
7	0.6842807607
8	0.6835089768
9	0.6827325082
10	0.681947651
11	0.6811988478
12	0.6805085614
13	0.67985207
14	0.6793057085
15	0.6788041414
16	0.6782466854
17	0.677675564
18	0.6771039526
19	0.6765537958
20	0.6760842502
21	0.6754966001
22	0.6750564714
23	0.6746325817
24	0.67435825
25	0.6740045654
26	0.6737347867
27	0.6733632749
28	0.6729787545
29	0.6727644076
30	0.6724702376
31	0.6721475849
32	0.6718313345
33	0.6716337197
34	0.6713406149
35	0.6710571899
36	0.6707767155
37	0.6705484139
38	0.6702277429
39	0.6700546002
40	0.6698198953
41	0.6696076627
42	0.6693942122
43	0.6692036174
44	0.6689761576
45	0.6687537441
46	0.6685398287
47	0.668304412
48	0.6680669731
49	0.6678820371
50	0.6676762081
51	0.6675631022
52	0.667480051
53	0.6672753619
54	0.6670826323
55	0.6668950547
56	0.6666973528
57	0.6665401892
58	0.6663668679
59	0.666264503
60	0.6660573865
61	0.6659059158
62	0.6657380598
63	0.6655291348
64	0.6653540351
65	0.6652218397
66	0.6650625027
67	0.6649393292
68	0.6648232443
69	0.6646591684
70	0.6645025147
71	0.6643320922
72	0.6641834505
73	0.6641085531
74	0.6639977697
75	0.6639341021
76	0.6638117277
77	0.6636912146
78	0.6635690087
79	0.6634625935
80	0.6633120566
81	0.6632831843
82	0.6631893811
83	0.6630825031
84	0.6629839806
85	0.6628910092
86	0.6627744525
87	0.6626802896
88	0.6626127746
89	0.6625193713
90	0.6624258151
91	0.6623050983
92	0.6622249565
93	0.6621010267
94	0.6620294075
95	0.6619547873
96	0.6618218269
97	0.6616847955
98	0.6615651714
99	0.661510538
100	0.6614088638
101	0.6613004655
102	0.6611812463
103	0.6610454251
104	0.6609185987
105	0.6608330617
106	0.6607437743
107	0.6606037347
108	0.6604746788
109	0.6603699927
110	0.6602838509
111	0.6602015164
112	0.660065486
113	0.65994895
114	0.6598007217
115	0.6596685283
116	0.6596228218
117	0.659544385
118	0.6594311998
119	0.6593629649
120	0.6593142187
121	0.6592990208
122	0.6592447861
123	0.6591862232
124	0.6590898683
125	0.6590732379
126	0.6590208937
127	0.6589107938
128	0.6588424213
129	0.6587621925
130	0.658687342
131	0.6586643703
132	0.6585599328
133	0.65846478
134	0.6583976079
135	0.658247209
136	0.6581937499
137	0.6580903386
138	0.6579870003
139	0.657938088
140	0.6578348786
141	0.6577349851
142	0.6576461181
143	0.6576405906
144	0.6575349997
145	0.65742115
146	0.6573186353
147	0.6572658152
148	0.6572391364
149	0.6571848816
150	0.657074762
151	0.6570262301
152	0.6568906736
153	0.6567899541
154	0.6567461777
155	0.6566965019
156	0.6566080431
157	0.6565085928
158	0.6564475469
159	0.6563700018
160	0.6562932798
161	0.6562086985
162	0.6561281658
163	0.6560129093
164	0.6560107413
165	0.6558740733
166	0.6557924278
167	0.6557149048
168	0.6556545125
169	0.6555691253
170	0.6554505202
171	0.6552963022
172	0.6552257839
173	0.6551701678
174	0.6550566342
175	0.6549993337
176	0.6549177164
177	0.654856264
178	0.6547702274
179	0.6547022067
180	0.6546102513
181	0.6545136357
182	0.6544541575
183	0.6543370262
184	0.6542374871
185	0.6541893187
186	0.6540997278
187	0.6540108197
188	0.6539450175
